iter	Passed	Remaining
0	0	487
1	0	452
2	1	427
3	1	420
4	2	425
5	2	416
6	2	408
7	3	405
8	3	398
9	4	404
10	4	407
11	4	405
12	5	403
13	5	390
14	5	388
15	6	377
16	6	377
17	6	380
18	7	387
19	7	385
20	8	386
21	8	388
22	9	388
23	9	390
24	10	391
25	10	390
26	10	386
27	11	385
28	11	383
29	11	381
30	12	383
31	12	386
32	13	386
33	13	385
34	13	384
35	14	382
36	14	381
37	15	381
38	15	379
39	15	379
40	16	379
41	16	378
42	16	377
43	17	377
44	17	377
45	18	378
46	18	379
47	19	379
48	19	378
49	19	379
50	20	382
51	21	383
52	21	384
53	21	383
54	22	383
55	22	381
56	23	380
57	23	380
58	23	377
59	24	378
60	24	377
61	24	377
62	25	376
63	25	375
64	26	376
65	26	376
66	27	376
67	27	375
68	27	374
69	28	373
70	28	373
71	28	373
72	29	373
73	29	372
74	30	371
75	30	371
76	30	371
77	31	371
78	31	370
79	32	371
80	32	370
81	33	369
82	33	368
83	33	367
84	34	367
85	34	367
86	35	367
87	35	367
88	35	366
89	36	365
90	36	365
91	36	364
92	37	363
93	37	362
94	37	361
95	38	360
96	38	360
97	39	360
98	39	359
99	39	357
100	40	357
101	40	356
102	40	356
103	41	356
104	41	356
105	42	356
106	42	356
107	43	356
108	43	356
109	44	356
110	44	356
111	44	355
112	45	355
113	45	356
114	46	355
115	46	355
116	47	355
117	47	355
118	47	354
119	48	354
120	48	354
121	49	353
122	49	353
123	50	353
124	50	353
125	50	353
126	51	352
127	51	352
128	52	351
129	52	351
130	52	351
131	53	352
132	54	352
133	54	352
134	55	352
135	55	353
136	56	353
137	56	353
138	57	353
139	57	352
140	57	352
141	58	352
142	58	351
143	59	351
144	59	350
145	59	350
146	60	350
147	60	350
148	61	349
149	61	349
150	62	349
151	62	348
152	62	347
153	63	347
154	63	346
155	64	346
156	64	345
157	64	345
158	65	344
159	65	344
160	66	344
161	66	343
162	66	343
163	67	343
164	67	343
165	68	342
166	68	342
167	69	342
168	69	342
169	70	341
170	70	341
171	71	345
172	72	345
173	72	344
174	73	344
175	73	344
176	73	343
177	74	343
178	74	342
179	75	342
180	75	341
181	75	340
182	76	340
183	76	340
184	77	339
185	77	338
186	77	338
187	78	337
188	78	337
189	79	337
190	79	336
191	79	336
192	80	336
193	80	335
194	81	335
195	81	335
196	82	335
197	82	335
198	83	335
199	83	334
200	84	334
201	84	334
202	85	334
203	85	333
204	86	333
205	86	333
206	86	332
207	87	333
208	87	332
209	88	332
210	88	331
211	89	331
212	89	330
213	89	330
214	90	330
215	90	330
216	91	329
217	91	329
218	92	329
219	92	329
220	93	328
221	93	328
222	94	327
223	94	327
224	94	327
225	95	327
226	96	327
227	96	327
228	97	327
229	97	327
230	98	326
231	98	326
232	99	326
233	99	325
234	99	325
235	100	325
236	100	325
237	101	324
238	102	324
239	102	324
240	102	324
241	103	323
242	103	323
243	104	323
244	104	322
245	105	322
246	105	321
247	105	321
248	106	320
249	106	320
250	107	320
251	107	319
252	108	319
253	108	319
254	109	318
255	109	318
256	110	318
257	110	317
258	111	319
259	111	318
260	112	318
261	115	325
262	116	327
263	117	327
264	118	327
265	118	327
266	119	327
267	119	326
268	120	326
269	120	326
270	121	325
271	121	325
272	121	324
273	122	324
274	122	323
275	123	323
276	123	322
277	124	322
278	124	321
279	124	321
280	125	320
281	125	320
282	126	320
283	127	321
284	128	322
285	129	322
286	129	321
287	130	321
288	130	321
289	131	320
290	131	320
291	131	319
292	132	319
293	132	319
294	133	318
295	133	318
296	134	317
297	134	317
298	135	316
299	135	315
300	135	315
301	136	315
302	136	314
303	137	313
304	137	313
305	137	312
306	138	312
307	138	311
308	139	311
309	139	310
310	140	310
311	140	310
312	141	309
313	141	309
314	142	308
315	142	308
316	143	308
317	143	307
318	143	307
319	144	306
320	144	306
321	145	306
322	145	305
323	146	305
324	146	304
325	147	304
326	147	304
327	148	303
328	149	304
329	149	304
330	150	304
331	151	304
332	151	304
333	152	303
334	152	303
335	153	302
336	153	302
337	154	301
338	154	301
339	154	300
340	155	300
341	155	299
342	156	299
343	156	299
344	157	298
345	157	298
346	158	297
347	158	297
348	159	296
349	159	296
350	160	295
351	160	295
352	160	294
353	161	294
354	161	293
355	162	293
356	162	293
357	163	292
358	163	292
359	163	291
360	164	291
361	164	290
362	165	290
363	165	289
364	166	288
365	166	288
366	167	288
367	167	287
368	167	287
369	168	286
370	168	286
371	169	285
372	169	285
373	170	284
374	170	284
375	171	283
376	171	284
377	172	283
378	172	283
379	173	282
380	173	282
381	174	282
382	174	281
383	175	281
384	175	280
385	176	280
386	176	280
387	177	279
388	177	279
389	178	279
390	178	278
391	179	278
392	179	277
393	180	277
394	180	276
395	181	276
396	182	276
397	182	276
398	183	276
399	184	276
400	184	275
401	185	275
402	185	274
403	185	274
404	186	273
405	186	273
406	187	273
407	188	273
408	188	272
409	189	272
410	189	271
411	190	271
412	190	270
413	191	270
414	191	270
415	192	269
416	192	269
